IP:PORT, LOSS, DELAY
[2606:4700:d1::5dd5:3509:ff6b:089c]:7559,0.00%,timeout ms
[2606:4700:d0::9351:5dc9:44d1:7104]:3581,0.00%,timeout ms
[2606:4700:d0::cf3d:b05a:ad96:dd1c]:3581,0.00%,timeout ms
[2606:4700:d1::cec4:0cc6:8028:0cad]:7559,0.00%,timeout ms
[2606:4700:d1::1dd2:7b7d:1255:bcee]:7559,0.00%,timeout ms
[2606:4700:d0::13d0:423f:1b07:e57f]:7559,0.00%,timeout ms
[2606:4700:d0::6abe:1490:5956:7869]:7559,0.00%,timeout ms
[2606:4700:d1::5e73:67b6:29fe:ebc1]:3581,0.00%,timeout ms
[2606:4700:d0::9351:5dc9:44d1:7104]:7559,0.00%,timeout ms
[2606:4700:d1::47f2:7b6f:83b7:70c1]:3581,0.00%,timeout ms
[2606:4700:d0::cf3d:b05a:ad96:dd1c]:7559,0.00%,timeout ms
[2606:4700:d1::db29:dcf4:9c0f:1def]:3581,0.00%,timeout ms
[2606:4700:d1::1f3b:a642:26c3:7686]:3581,0.00%,timeout ms
[2606:4700:d0::6b31:5f1f:6d86:c736]:3581,0.00%,timeout ms
[2606:4700:d0::9366:befd:eb33:e89d]:3581,0.00%,timeout ms
[2606:4700:d1::5e73:67b6:29fe:ebc1]:7559,0.00%,timeout ms
[2606:4700:d0::d005:621d:00a2:4b03]:3581,0.00%,timeout ms
[2606:4700:d1::db29:dcf4:9c0f:1def]:7559,0.00%,timeout ms
[2606:4700:d1::1f3b:a642:26c3:7686]:7559,0.00%,timeout ms
[2606:4700:d0::6b31:5f1f:6d86:c736]:7559,0.00%,timeout ms
[2606:4700:d0::9366:befd:eb33:e89d]:7559,0.00%,timeout ms
[2606:4700:d1::47f2:7b6f:83b7:70c1]:7559,0.00%,timeout ms
[2606:4700:d1::6181:edc6:5d81:6914]:3581,0.00%,timeout ms
[2606:4700:d1::dcbb:35dc:6602:d548]:3581,0.00%,timeout ms
[2606:4700:d1::2b01:b794:3494:3389]:3581,0.00%,timeout ms
[2606:4700:d0::6bd6:ddf4:9fb8:19ab]:3581,0.00%,timeout ms
